MainClock,SignalOut,SignalIn,Negative,Positive,Lag,Lead,[1]MainClock,[1]SignalOut,[1]SignalIn,[1]Negative,[1]Positive,[1]Lag,[1]Lead,[2]MainClock,[2]SignalOut,[2]SignalIn,[2]Negative,[2]Positive,[2]Lag,[2]Lead,[3]MainClock,[3]SignalOut,[3]SignalIn,[3]Negative,[3]Positive,[3]Lag,[3]Lead
0,2,0,2,2,0,0,0,2,1,2,2,0,0,0,2,1,2,2,0,0,0,2,1,2,2,2,2
0,2,0,2,2,0,0,0,2,0,2,2,0,0,0,2,1,2,2,0,0,0,2,1,2,2,0,0
0,2,1,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,0,0,0,2,1,2,2,0,0
0,2,1,2,2,0,0,0,2,1,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,0,0
0,2,1,2,2,2,2,0,2,1,2,2,0,0,0,2,1,2,2,0,0,0,2,0,2,2,0,0
0,2,0,2,2,0,0,0,2,1,2,2,2,2,0,2,1,2,2,0,0,0,2,1,2,2,0,0
0,2,0,2,2,0,0,0,2,0,2,2,0,0,0,2,1,2,2,2,2,0,2,1,2,2,0,0
0,2,0,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,0,0,0,2,1,2,2,2,2
0,2,0,2,2,2,2,0,2,0,2,2,0,0,0,2,1,2,2,0,0,0,2,0,2,2,0,0
0,2,1,2,2,0,0,0,2,0,2,2,2,2,0,2,0,2,2,0,0,0,2,1,2,2,0,0
0,2,1,2,2,0,0,0,2,1,2,2,0,0,0,2,0,2,2,2,2,0,2,0,2,2,0,0
0,2,0,2,2,0,0,0,2,0,2,2,2,2,0,2,1,2,2,0,0,0,2,1,2,2,0,0
0,2,0,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,2,2,0,2,1,2,2,0,0
0,2,0,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,2,2
0,2,1,2,2,0,0,0,2,1,2,2,2,2,0,2,1,2,2,0,0,0,2,1,2,2,0,0
0,2,1,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,0,0,0,2,1,2,2,2,2
0,2,1,2,2,2,2,0,2,1,2,2,0,0,0,2,1,2,2,0,0,0,2,0,2,2,2,2
0,2,1,2,2,0,0,0,2,0,2,2,0,0,0,2,1,2,2,2,2,0,2,1,2,2,0,0
0,2,1,2,2,0,0,0,2,1,2,2,0,0,0,2,0,2,2,0,0,0,2,1,2,2,2,2
0,2,1,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,2,2,0,2,1,2,2,0,0
0,2,1,2,2,0,0,0,2,1,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,2,2
0,2,0,2,2,0,0,0,2,1,2,2,0,0,0,2,0,2,2,2,2,0,2,0,2,2,0,0
0,2,1,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,2,2
0,2,0,2,2,0,0,0,2,0,2,2,2,2,0,2,1,2,2,0,0,0,2,1,2,2,2,2
0,2,0,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,2,2,0,2,0,2,2,0,0
0,2,1,2,2,0,0,0,2,0,2,2,0,0,0,2,1,2,2,0,0,0,2,1,2,2,2,2
0,2,0,2,2,2,2,0,2,0,2,2,0,0,0,2,1,2,2,2,2,0,2,0,2,2,0,0
0,2,1,2,2,0,0,0,2,0,2,2,2,2,0,2,0,2,2,0,0,0,2,1,2,2,2,2
0,2,1,2,2,0,0,0,2,1,2,2,0,0,0,2,1,2,2,0,0,0,2,1,2,2,0,0
0,2,0,2,2,0,0,0,2,1,2,2,0,0,0,2,0,2,2,0,0,0,2,1,2,2,2,2
0,2,0,2,2,0,0,0,2,1,2,2,0,0,0,2,0,2,2,0,0,0,2,1,2,2,0,0
0,2,0,2,2,0,0,0,2,0,2,2,2,2,0,2,0,2,2,0,0,0,2,1,2,2,2,2
0,2,0,2,2,0,0,0,2,1,2,2,2,2,0,2,1,2,2,0,0,0,2,1,2,2,2,2
0,2,0,2,2,0,0,0,2,1,2,2,2,2,0,2,0,2,2,0,0,0,2,1,2,2,2,2
